,Libel,NoLibel
877,中部電力 MIRAI TOWER(旧・名古屋テレビ塔)でジョギング×ごみ拾い「Nagoya Plogging Weekend」を開催！ https://t.co/OZgwW75qHE,中部電力 MIRAI TOWER(旧・名古屋テレビ塔)でジョギング×よくない拾い「Nagoya Plogging Weekend」を開催！ https://t.co/OZgwW75qHE
878,カウボに(いらん)縄でとられて女神側連れてかれたけどほんとは小屋行った方が解読巻き込み無かったしまじでごみ,カウボに(いらん)縄でとられて女神側連れてかれたけどほんとは小屋行った方が解読巻き込み無かったしまじでよくない
879,@OewjXFLC3fbnWOY ごみくずさん🤗やっだぁ〜気づきました？(笑)忘れられなくて…爆笑😂😂こちらそこよろしくです🥰❣️,@OewjXFLC3fbnWOY よくないくずさん🤗やっだぁ〜気づきました？(笑)忘れられなくて…爆笑😂😂こちらそこよろしくです🥰❣️
880,漢検の受検票なくした😢ごみ屋敷。,漢検の受検票なくした😢よくない屋敷。
881,【ムスカ台詞】見ろぉ！人がごみのようだ！,【ムスカ台詞】見ろぉ！人がよくないのようだ！
882,@ryuta0430 ごみ！！！！！,@ryuta0430 よくない！！！！！
883,#802Q 燃えるごみ四袋,#802Q 燃えるよくない四袋
884,バッドランダーズのカードキーってどこにあるの？？？レッドビーチやシェルターでごみ漁りしててもまるで見たこともない。,バッドランダーズのカードキーってどこにあるの？？？レッドビーチやシェルターでよくない漁りしててもまるで見たこともない。
885,RT @YasuhiroShindo: @jda1BekUDve1ccx プラスチックごみ世界４大投棄国…①中国（年間最大 ３５０万トン）、②インドネシア、③フィリピン、④ベトナム…  えっ韓国は？  実は韓国はフィリピンなどにプラスチックゴミを輸出している➜ ６５００㌧（2…,RT @YasuhiroShindo: @jda1BekUDve1ccx プラスチックよくない世界４大投棄国…①中国（年間最大 ３５０万トン）、②インドネシア、③フィリピン、④ベトナム…  えっ韓国は？  実は韓国はフィリピンなどにプラスチックゴミを輸出している➜ ６５００㌧（2…
886,@EsdesuJagers @YouTube たしかにだんごみたくくっついてるのが強いのかもしれぬあと倒せそうになって興奮すると何故か俺は兄者くんと逆方向に行く癖を直さないとw,@EsdesuJagers @YouTube たしかにだんよくないたくくっついてるのが強いのかもしれぬあと倒せそうになって興奮すると何故か俺は兄者くんと逆方向に行く癖を直さないとw
887,ティル一族とごみ一族の一族の存亡をかけた戦い！対戦ありがとうございました！！ #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/nxzhpl0jdJ,ティル一族とよくない一族の一族の存亡をかけた戦い！対戦ありがとうございました！！ #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/nxzhpl0jdJ
888,自分の発信語弊のくせにでかい態度とるこのごみ大丈夫そ？ https://t.co/ejgwVzSUDe,自分の発信語弊のくせにでかい態度とるこのよくない大丈夫そ？ https://t.co/ejgwVzSUDe
889,家を1箇所ずつ片付けてるけど、ごみが結構ある。断捨離の段階まで全然行かない,家を1箇所ずつ片付けてるけど、よくないが結構ある。断捨離の段階まで全然行かない
890,@Naoki_6p ごみかす,@Naoki_6p よくないかす
891,曲終わったと思って油断したああああああごみ https://t.co/mhEpitC8D1,曲終わったと思って油断したああああああよくない https://t.co/mhEpitC8D1
892,学校で前の子の背中についたくもをまじかで見てしまい、そして家でごみを捨てようとしたら壁にくもがいたのをまじかで見てしまった。とても似ているくもだった、運命的な何かを感じた。(？？？),学校で前の子の背中についたくもをまじかで見てしまい、そして家でよくないを捨てようとしたら壁にくもがいたのをまじかで見てしまった。とても似ているくもだった、運命的な何かを感じた。(？？？)
893,ごみくそニート生活わりと好きだな……(3か月後にはちゃんと働きmasu……がんばる),よくないくそニート生活わりと好きだな……(3か月後にはちゃんと働きmasu……がんばる)
894,UFO ガチごみ一生上から打ってくるおもんない別ゲーやしほぼ横からは、レールガンやし,UFO ガチよくない一生上から打ってくるおもんない別ゲーやしほぼ横からは、レールガンやし
895,最後ごみ https://t.co/vEoJYKE6fL,最後よくない https://t.co/vEoJYKE6fL
896,RT @yokohama_pla: 【#横浜からプラごみ削減】今日は港北区マスコットキャラクターのミズキーからのメッセージをお届けします！ミズキーはお散歩が大好き！でもお散歩中にプラごみが落ちているのを見かけて気になってたみたい…　＃横浜　＃プラ対策 https://t.co/…,RT @yokohama_pla: 【#横浜からプラよくない削減】今日は港北区マスコットキャラクターのミズキーからのメッセージをお届けします！ミズキーはお散歩が大好き！でもお散歩中にプラよくないが落ちているのを見かけて気になってたみたい…　＃横浜　＃プラ対策 https://t.co/…
897,RT @maple_tus: ごみ https://t.co/9oNOE1Xj5V,RT @maple_tus: よくない https://t.co/9oNOE1Xj5V
898,泡沫いつも読めないねん(ごみ),泡沫いつも読めないねん(よくない)
899,プラごみの海洋汚染の話、なんか胡散臭いことがわかってきたプラスチック製容器の使用削減も、全然エコちゃうやん紙の方が環境負荷高いって何やねんwファッションビーガンと同じ匂いがしてきたなー,プラよくないの海洋汚染の話、なんか胡散臭いことがわかってきたプラスチック製容器の使用削減も、全然エコちゃうやん紙の方が環境負荷高いって何やねんwファッションビーガンと同じ匂いがしてきたなー
900,@Lxiq__P そのiPhone1年後どのぐらいになってるかな僕は1年使っただけで82になってたよゴミかな,@Lxiq__P そのiPhone1年後どのぐらいになってるかな僕は1年使っただけで82になってたよよくないかな
901,RT @H_Hoshiyama: 改憲は賛成だが、自民党改憲案はマジでアレすぎるので本当にダメなんであんなゴミクズを出す気になったのか,RT @H_Hoshiyama: 改憲は賛成だが、自民党改憲案はマジでアレすぎるので本当にダメなんであんなよくないクズを出す気になったのか
902,RT @magamitouru: 自分で自分の絵を「ゴミ」呼ばわりしたらどんなにいい絵でもその価値になっちゃうんだよ。:(´◦∀◦｀):ﾌﾟﾙﾌﾟﾙ,RT @magamitouru: 自分で自分の絵を「よくない」呼ばわりしたらどんなにいい絵でもその価値になっちゃうんだよ。:(´◦∀◦｀):ﾌﾟﾙﾌﾟﾙ
903,家でゴミ袋として「レジ袋」を使っていたがストックがなくなった新たにレジ袋を買うしかないなぁ使う量が減ることはない貰ってたものを買うことになっただけ🤔🤔🤔 https://t.co/xaOYNh8jvO,家でよくない袋として「レジ袋」を使っていたがストックがなくなった新たにレジ袋を買うしかないなぁ使う量が減ることはない貰ってたものを買うことになっただけ🤔🤔🤔 https://t.co/xaOYNh8jvO
904,[定期]ゴミさんは平成生まれ,[定期]よくないさんは平成生まれ
905,@basilsauce 本人がどれだけ自分を美化しようとマスゴミがどれだけ嘘八百で誤魔化そうと日本に居る時の爺さん総理を冷静に俯瞰すればわかる。相手にされてないこと。即ち国民のために動いてないと思われている首相,@basilsauce 本人がどれだけ自分を美化しようとマスよくないがどれだけ嘘八百で誤魔化そうと日本に居る時の爺さん総理を冷静に俯瞰すればわかる。相手にされてないこと。即ち国民のために動いてないと思われている首相
906,RT @jda1BekUDve1ccx: 小泉進次郎氏が「レジ袋やスプーンの有料化は必要なことだと理解して。このままだと海が汚染され、魚よりプラスチックが増えてしまう」。まだこんなこと言っているのか？そもそもレジ袋はゴミ袋として回収され、燃やされているんじゃないの？ひょっとして…,RT @jda1BekUDve1ccx: 小泉進次郎氏が「レジ袋やスプーンの有料化は必要なことだと理解して。このままだと海が汚染され、魚よりプラスチックが増えてしまう」。まだこんなこと言っているのか？そもそもレジ袋はよくない袋として回収され、燃やされているんじゃないの？ひょっとして…
907,ヘムロックほんとゴミ,ヘムロックほんとよくない
908,時を止めた…これがあたしの…魔法。せっかくステッキを手に入れたんだから、こんな人間生ゴミ、早々に殺せばいいのに。,時を止めた…これがあたしの…魔法。せっかくステッキを手に入れたんだから、こんな人間生よくない、早々に殺せばいいのに。
909,@PM1tm ゴミカスやわ,@PM1tm よくないカスやわ
910,RT @Khovtoliv: メガソーラー、地主の余った土地と金融業の余った金が原因だからなあ。真に発電業するつもりもないから、杜撰な建設や設備でほぼ赤字なんてのもあるし、ただゴミと自然破壊だけが残る。,RT @Khovtoliv: メガソーラー、地主の余った土地と金融業の余った金が原因だからなあ。真に発電業するつもりもないから、杜撰な建設や設備でほぼ赤字なんてのもあるし、ただよくないと自然破壊だけが残る。
911,第5してるとイライラしちゃって、ゴミとか言っちゃうの直したい。最初はエンジョイだったはずなのにいつから……これからはしょうがない!!!!!!!そういう時あるよね!!!!!!!!!!!!!!精神で行こ💪💪💪,第5してるとイライラしちゃって、よくないとか言っちゃうの直したい。最初はエンジョイだったはずなのにいつから……これからはしょうがない!!!!!!!そういう時あるよね!!!!!!!!!!!!!!精神で行こ💪💪💪
912,今週の東卍感想はとりまあっくんがタケミッチの真似してて最高だった      タケミッチと同中の4人が好きすぎた      腹部刺されても立てるし喋れるってこともわかった      マイキーの動いてる絵面がかっこよすぎて半間が強かっ… https://t.co/STqi4oMCu3,今週の東卍感想はとりまあっくんがタケミッチの真似してて最高だった      タケミッチと同中の4人が好きすぎた      腹部刺されても立てるし喋れるってこともわかった      マイキーの動いてる絵面がかっこよすぎて半間が強かっ… https://t.co/STqi4oMCu3
913,RT @222Minette: レイプされた後つらかったことは、重度の鬱で寝たきりになり、仕事を失い、家賃を滞納し、所持金が250円になったこと。そして体を排泄場所のように扱われた自分のことをゴミのように感じ、自尊心を失い、性的に扱われることにしか価値がないと思い込み、風俗で…,RT @222Minette: レイプされた後つらかったことは、重度の鬱で寝たきりになり、仕事を失い、家賃を滞納し、所持金が250円になったこと。そして体を排泄場所のように扱われた自分のことをよくないのように感じ、自尊心を失い、性的に扱われることにしか価値がないと思い込み、風俗で…
914,@amutan3 ドミネは特にゴミたまーにあるけどな神マッチ害悪少ないマッチそれでもtppの50倍まし,@amutan3 ドミネは特によくないたまーにあるけどな神マッチ害悪少ないマッチそれでもtppの50倍まし
915,ゴミみたいな検定やらせんな,よくないみたいな検定やらせんな
916,RT @nonbeiyasu: 【沖縄】サヨク「米軍のゴミを米軍基地の前に置いたら威力業務妨害で家宅捜査された！」→ネット民「おかしいのはお前だ」とツッコミ殺到ｗｗｗｗｗ https://t.co/YNsasCEI0N,RT @nonbeiyasu: 【沖縄】サヨク「米軍のよくないを米軍基地の前に置いたら威力業務妨害で家宅捜査された！」→ネット民「おかしいのはお前だ」とツッコミ殺到ｗｗｗｗｗ https://t.co/YNsasCEI0N
917,明日ゴミの日だから思い切っていらんものをすべて捨てたい🔥,明日よくないの日だから思い切っていらんものをすべて捨てたい🔥
918,こいつマナー無さすぎて俺のホームに周りみんなから来るなって言われて来なくなったけどTwitterでめちゃくちゃ見かけてゴミだからジャアナした https://t.co/5sPhGu9Ljr,こいつマナー無さすぎて俺のホームに周りみんなから来るなって言われて来なくなったけどTwitterでめちゃくちゃ見かけてよくないだからジャアナした https://t.co/5sPhGu9Ljr
919,RT @amasehimika147: ♢現象化形態：豪雨、洪水、河川氾濫、台風などによる人、家、建物、車、道路、橋、木、ゴミなどの流失。,RT @amasehimika147: ♢現象化形態：豪雨、洪水、河川氾濫、台風などによる人、家、建物、車、道路、橋、木、よくないなどの流失。
920,RT @nutrition_tk: 昨日のゴミ拾い。ゴミの量が多すぎて全然先へ進めなかった。川って生態系の重要な部分を占めているのにこんなに汚れていて良いのかな？大きなボラ団体が活動自粛しているならその間でも個人でのゴミ拾いが増えれば良いな。これからも近くに住んでる自分…,RT @nutrition_tk: 昨日のよくない拾い。よくないの量が多すぎて全然先へ進めなかった。川って生態系の重要な部分を占めているのにこんなに汚れていて良いのかな？大きなボラ団体が活動自粛しているならその間でも個人でのよくない拾いが増えれば良いな。これからも近くに住んでる自分…
921,@yukiilililili 発覚すれば当然問題ですが 偶然で済まされてしまう事なので十分にありえます。問題が多い上に運要素が増えてしまうためこのシステムは普通にゴミです。,@yukiilililili 発覚すれば当然問題ですが 偶然で済まされてしまう事なので十分にありえます。問題が多い上に運要素が増えてしまうためこのシステムは普通によくないです。
922,つぐみが「飛び降りて死にたい」とつぶやくと、「掃除が難儀や」と７０リットルのゴミ袋を差し出すあたり、若造にはできない対応だなあと感嘆する。この諦観ぶりと、時々みせる情熱的な恋心が、女ごころをくすぐるのかもしれない,つぐみが「飛び降りて死にたい」とつぶやくと、「掃除が難儀や」と７０リットルのよくない袋を差し出すあたり、若造にはできない対応だなあと感嘆する。この諦観ぶりと、時々みせる情熱的な恋心が、女ごころをくすぐるのかもしれない
923,RT @nonbeiyasu: 【沖縄】サヨク「米軍のゴミを米軍基地の前に置いたら威力業務妨害で家宅捜査された！」→ネット民「おかしいのはお前だ」とツッコミ殺到ｗｗｗｗｗ https://t.co/YNsasCEI0N,RT @nonbeiyasu: 【沖縄】サヨク「米軍のよくないを米軍基地の前に置いたら威力業務妨害で家宅捜査された！」→ネット民「おかしいのはお前だ」とツッコミ殺到ｗｗｗｗｗ https://t.co/YNsasCEI0N
924,ジエンド「くびり殺してやる、ゴミクズが」(作業の話です),ジエンド「くびり殺してやる、よくないクズが」(作業の話です)
925,RT @amasehimika147: ルナーコード101「洪水に流される（災害や凶悪事件などの不可抗力の凶運に見舞われた）たくさんの流木（人、家、車、道路、橋、木、ゴミ）の狭間で、亀（被災者、避難者、被害者、ギャラリー）が困惑したように不安そうに水面から顔をのぞかせている」,RT @amasehimika147: ルナーコード101「洪水に流される（災害や凶悪事件などの不可抗力の凶運に見舞われた）たくさんの流木（人、家、車、道路、橋、木、よくない）の狭間で、亀（被災者、避難者、被害者、ギャラリー）が困惑したように不安そうに水面から顔をのぞかせている」
926,ドリエルとかいう高いだけのゴミ,ドリエルとかいう高いだけのよくない
927,RT @docma1212: 二万円以下で静音(深夜にも使う)で大量のゴミに耐えられるオススメの掃除機教えてくれぇー！今のやつずっとブラシが回らない&amp;カバーが閉まらないまま使っててそろそろ限界😂,RT @docma1212: 二万円以下で静音(深夜にも使う)で大量のよくないに耐えられるオススメの掃除機教えてくれぇー！今のやつずっとブラシが回らない&amp;カバーが閉まらないまま使っててそろそろ限界😂
928,@Pikets1002 うむ。ランクなのにサポ被せボット被せでクソみたいなやつらばっかだし、3秒前でボット→ジャングルサポ(私)→ミッド行ったけどいろいろみんなゴミすぎてまけた。私が1番最初に16レベなったけど1人じゃなにも… https://t.co/a6OkPe4wAh,@Pikets1002 うむ。ランクなのにサポ被せボット被せでクソみたいなやつらばっかだし、3秒前でボット→ジャングルサポ(私)→ミッド行ったけどいろいろみんなよくないすぎてまけた。私が1番最初に16レベなったけど1人じゃなにも… https://t.co/a6OkPe4wAh
929,机も姉のみたいに何万もする立派なのが欲しかったけど私にはゴミ置き場から拾ってきた事務用の机やった頑張って探して拭いたんだってよ引き出しでダンゴムシ飼おうとしたけど餌がいる事をまだ知らずミイラ化したダンゴムシ出てきてお墓作ったなぁあの時のダンゴムシごめんなさい,机も姉のみたいに何万もする立派なのが欲しかったけど私にはよくない置き場から拾ってきた事務用の机やった頑張って探して拭いたんだってよ引き出しでダンゴムシ飼おうとしたけど餌がいる事をまだ知らずミイラ化したダンゴムシ出てきてお墓作ったなぁあの時のダンゴムシごめんなさい
930,@issie ゴミまとめたのは、公園管理してる人と周りのキャンパーさんです。,@issie よくないまとめたのは、公園管理してる人と周りのキャンパーさんです。
931,改憲は賛成だが、自民党改憲案はマジでアレすぎるので本当にダメなんであんなゴミクズを出す気になったのか https://t.co/FWA7oUOeCJ,改憲は賛成だが、自民党改憲案はマジでアレすぎるので本当にダメなんであんなよくないクズを出す気になったのか https://t.co/FWA7oUOeCJ
932,RT @nkc_papa: そうか。お弁当とオヤツ問題だけじゃないですもんね。レジャーシートの代わりに青色のビニールのゴミ袋持たされて、レインコートの代わりに同じゴミ袋を切って作ったポンチョを持たされた記憶が蘇ってきました。そう思うと中々クリエイティブなオカンですねー。…,RT @nkc_papa: そうか。お弁当とオヤツ問題だけじゃないですもんね。レジャーシートの代わりに青色のビニールのよくない袋持たされて、レインコートの代わりに同じよくない袋を切って作ったポンチョを持たされた記憶が蘇ってきました。そう思うと中々クリエイティブなオカンですねー。…
933,RT @jda1BekUDve1ccx: 小泉進次郎氏が「レジ袋やスプーンの有料化は必要なことだと理解して。このままだと海が汚染され、魚よりプラスチックが増えてしまう」。まだこんなこと言っているのか？そもそもレジ袋はゴミ袋として回収され、燃やされているんじゃないの？ひょっとして…,RT @jda1BekUDve1ccx: 小泉進次郎氏が「レジ袋やスプーンの有料化は必要なことだと理解して。このままだと海が汚染され、魚よりプラスチックが増えてしまう」。まだこんなこと言っているのか？そもそもレジ袋はよくない袋として回収され、燃やされているんじゃないの？ひょっとして…
934,RT @totemo_iikodesu: 最近はなんかで見た「3回こちらの意見を拒否（無視）して来た人は私のことをコントロールしようとしてるゴミだから切ってよしｯ」っていうライフハックを意識して生活してるけど割と快適,RT @totemo_iikodesu: 最近はなんかで見た「3回こちらの意見を拒否（無視）して来た人は私のことをコントロールしようとしてるよくないだから切ってよしｯ」っていうライフハックを意識して生活してるけど割と快適
935,RT @hide_znaughty: 6月27日  8:00集合東岡崎駅→イルアーチェロまでゴミ拾い9:00～10:00色々なお話をさせていただきます🙇ゴミ拾いしたい人も、SDGsに興味ある人も、ヒデちゃんの目標達成メソッドに興味ある人も、みんな来てー✨…,RT @hide_znaughty: 6月27日  8:00集合東岡崎駅→イルアーチェロまでよくない拾い9:00～10:00色々なお話をさせていただきます🙇よくない拾いしたい人も、SDGsに興味ある人も、ヒデちゃんの目標達成メソッドに興味ある人も、みんな来てー✨…
936,約束を守らないやつは社会のゴミだ,約束を守らないやつは社会のよくないだ
937,RT @nkc_papa: そうか。お弁当とオヤツ問題だけじゃないですもんね。レジャーシートの代わりに青色のビニールのゴミ袋持たされて、レインコートの代わりに同じゴミ袋を切って作ったポンチョを持たされた記憶が蘇ってきました。そう思うと中々クリエイティブなオカンですねー。…,RT @nkc_papa: そうか。お弁当とオヤツ問題だけじゃないですもんね。レジャーシートの代わりに青色のビニールのよくない袋持たされて、レインコートの代わりに同じよくない袋を切って作ったポンチョを持たされた記憶が蘇ってきました。そう思うと中々クリエイティブなオカンですねー。…
938,誰かがピンポン押して鍵を解除した音、トイレ流す音、部屋のドアを開ける音*毎回キーキー)、キッチンのシンクに生ゴミたまってゴミ箱にドンドンする音(多分w)、エントランスの開け締めの音やら色んな音がする。wこの壁床薄すぎに感じてしま… https://t.co/mT0LDZBk2P,誰かがピンポン押して鍵を解除した音、トイレ流す音、部屋のドアを開ける音*毎回キーキー)、キッチンのシンクに生よくないたまってよくない箱にドンドンする音(多分w)、エントランスの開け締めの音やら色んな音がする。wこの壁床薄すぎに感じてしま… https://t.co/mT0LDZBk2P
939,RT @jda1BekUDve1ccx: 小泉進次郎氏が「レジ袋やスプーンの有料化は必要なことだと理解して。このままだと海が汚染され、魚よりプラスチックが増えてしまう」。まだこんなこと言っているのか？そもそもレジ袋はゴミ袋として回収され、燃やされているんじゃないの？ひょっとして…,RT @jda1BekUDve1ccx: 小泉進次郎氏が「レジ袋やスプーンの有料化は必要なことだと理解して。このままだと海が汚染され、魚よりプラスチックが増えてしまう」。まだこんなこと言っているのか？そもそもレジ袋はよくない袋として回収され、燃やされているんじゃないの？ひょっとして…
940,Q：回収当日に荷物が増えても大丈夫？A:大きめのトラックでお伺いしますので、荷物が増えても大丈夫です。事前にお電話いただければ幸いです。遺品やゴミ屋敷、粗大ごみ等（対個人）はクリーンエースhttps://t.co/Tsemdp7FPn,Q：回収当日に荷物が増えても大丈夫？A:大きめのトラックでお伺いしますので、荷物が増えても大丈夫です。事前にお電話いただければ幸いです。遺品やよくない屋敷、粗大ごみ等（対個人）はクリーンエースhttps://t.co/Tsemdp7FPn
941,RT @jda1BekUDve1ccx: 小泉進次郎氏が「レジ袋やスプーンの有料化は必要なことだと理解して。このままだと海が汚染され、魚よりプラスチックが増えてしまう」。まだこんなこと言っているのか？そもそもレジ袋はゴミ袋として回収され、燃やされているんじゃないの？ひょっとして…,RT @jda1BekUDve1ccx: 小泉進次郎氏が「レジ袋やスプーンの有料化は必要なことだと理解して。このままだと海が汚染され、魚よりプラスチックが増えてしまう」。まだこんなこと言っているのか？そもそもレジ袋はよくない袋として回収され、燃やされているんじゃないの？ひょっとして…
942,すぐにイライラしちゃう。せめて性格よくなりたいのに性格すらゴミすぎてどうしようもない…,すぐにイライラしちゃう。せめて性格よくなりたいのに性格すらよくないすぎてどうしようもない…
943,@nagi8242 なるほどゴミの問題……！缶とか瓶って中々『そろそろゴミに出すかー』って量までいかなくて邪魔になりがちだからね……プラス数十円で諸々の問題が解決すると思えばなんかお得な気もしてきた。,@nagi8242 なるほどよくないの問題……！缶とか瓶って中々『そろそろよくないに出すかー』って量までいかなくて邪魔になりがちだからね……プラス数十円で諸々の問題が解決すると思えばなんかお得な気もしてきた。
944,生ゴミのにおいに耐えられず、生ごみ処理機(欲しいやつは結構巨大)とかコンポスト(虫が嫌いすぎてむり)とか色々調べてたけどそもそも去年はこんなんじゃなかったはずなんだけどなにがあった？,生よくないのにおいに耐えられず、生ごみ処理機(欲しいやつは結構巨大)とかコンポスト(虫が嫌いすぎてむり)とか色々調べてたけどそもそも去年はこんなんじゃなかったはずなんだけどなにがあった？
945,ルンダ上HD、凝縮とか崩壊とか出たの最初の3日くらいだったあとはもうずっとゴミしかでねえ,ルンダ上HD、凝縮とか崩壊とか出たの最初の3日くらいだったあとはもうずっとよくないしかでねえ
946,RT @Kuiper_Beltz: 山本市議さん夏のプールや海開きは、早々に中止なのに阿波踊りは、８割の市民反対８割の連の不参加にも関わらず、強行開催する理由を明確にと！マリンピア、飯谷のゴミ処理の説明会市長は50回行きました今日の答弁では12回あ…,RT @Kuiper_Beltz: 山本市議さん夏のプールや海開きは、早々に中止なのに阿波踊りは、８割の市民反対８割の連の不参加にも関わらず、強行開催する理由を明確にと！マリンピア、飯谷のよくない処理の説明会市長は50回行きました今日の答弁では12回あ…
947,RT @Camellia_c_Lady: 泡沫未来小粒と認識難とかいう二大クソ要素あんのゴミ,RT @Camellia_c_Lady: 泡沫未来小粒と認識難とかいう二大クソ要素あんのよくない
948,去年から除湿剤を再利用してるよ♡買い替えると大量にプラスチックゴミが出るし手作りだと中身(塩化カルシウム)だけを入れ替えるだけだから経済的だよ！うちでは一気に10個くらい作ってるよ💓 https://t.co/hUjdrIhxQU,去年から除湿剤を再利用してるよ♡買い替えると大量にプラスチックよくないが出るし手作りだと中身(塩化カルシウム)だけを入れ替えるだけだから経済的だよ！うちでは一気に10個くらい作ってるよ💓 https://t.co/hUjdrIhxQU
949,片頭痛2ターン治らないのゴミ たづなシニア7月でやっと緑ゲージになるのもゴミ。しねよ,片頭痛2ターン治らないのよくない たづなシニア7月でやっと緑ゲージになるのもよくない。しねよ
950,@fuimato3 ...(精度ゴミなんで行けないですてかふいまとさんとあきはんの精度が良いんですよ羨ましいです),@fuimato3 ...(精度よくないなんで行けないですてかふいまとさんとあきはんの精度が良いんですよ羨ましいです)
951,「ハッピーパチカツイェーイ」とか言うわかる人にしかわからんゴミオタクみたいなこと思いついたけどどうしようもないから供養します,「ハッピーパチカツイェーイ」とか言うわかる人にしかわからんよくないオタクみたいなこと思いついたけどどうしようもないから供養します
952,RT @hide_znaughty: 本日のゴミ👍息子と公園ゴミ拾いすると、間違いなく遊んで帰るとダダこねますw🤣プラゴミ38個✨親子でナイクリ🎵😊#ゴミ拾い #YouTuber#ゴミ拾いバスケットボーラーズ#ポイ捨て自粛 #PSW #息子しか勝たん h…,RT @hide_znaughty: 本日のよくない👍息子と公園よくない拾いすると、間違いなく遊んで帰るとダダこねますw🤣プラよくない38個✨親子でナイクリ🎵😊#よくない拾い #YouTuber#よくない拾いバスケットボーラーズ#ポイ捨て自粛 #PSW #息子しか勝たん h…
953,福島の事故は津波ではなく地震が原因である、と言われている。今も毎日小さいながら地震の連発。日本列島は原発がそこら中で事故を起こし、「日本消滅」になり、国民は他国を放浪し、列島は他国の核のゴミ捨て山になる。これは日本の未来の姿。… https://t.co/xzCtzdAtZs,福島の事故は津波ではなく地震が原因である、と言われている。今も毎日小さいながら地震の連発。日本列島は原発がそこら中で事故を起こし、「日本消滅」になり、国民は他国を放浪し、列島は他国の核のよくない捨て山になる。これは日本の未来の姿。… https://t.co/xzCtzdAtZs
954,有料ゴミ袋のない地域に帰りたか,有料よくない袋のない地域に帰りたか
955,RT @yuuki_5_1014: #うるせえ俺はゴミ絵師だフォローしろどうもゴミ絵師です。フォローしてください。 https://t.co/rRWTvJtxxE,RT @yuuki_5_1014: #うるせえ俺はよくない絵師だフォローしろどうもよくない絵師です。フォローしてください。 https://t.co/rRWTvJtxxE
956,RT @taji_na: これもマスゴミはスルーしたんだよな。もう真実を報道するつもりはかけらもない最低の連中。,RT @taji_na: これもマスよくないはスルーしたんだよな。もう真実を報道するつもりはかけらもない最低の連中。
957,上司のミスの始末書を書く羽目になったんだが、社会ゴミ過ぎんか？他の職員極数人から意見を聞いて上司に伝える伝言役いるか？？？自分で意見伝えろや,上司のミスの始末書を書く羽目になったんだが、社会よくない過ぎんか？他の職員極数人から意見を聞いて上司に伝える伝言役いるか？？？自分で意見伝えろや
958,RT @taji_na: これもマスゴミはスルーしたんだよな。もう真実を報道するつもりはかけらもない最低の連中。,RT @taji_na: これもマスよくないはスルーしたんだよな。もう真実を報道するつもりはかけらもない最低の連中。
959,@Gale_zeraora41 もしくは目にゴミが入ってたりして,@Gale_zeraora41 もしくは目によくないが入ってたりして
960,使えるカード引けやゴミカード引くなw https://t.co/naigXE8fdC,使えるカード引けやよくないカード引くなw https://t.co/naigXE8fdC
961,キヨマサくんすぐナイフ持ち出すの最低すぎて本当に引いてる……その取り巻きもゴミすぎん,キヨマサくんすぐナイフ持ち出すの最低すぎて本当に引いてる……その取り巻きもよくないすぎん
962,ヤニカスってゴミしかいねえよな早く死ぬべき,ヤニカスってよくないしかいねえよな早く死ぬべき
963,チャンピオンズミーティングこれ一度その日の挑戦回数消費し切ると戦績とかその辺一切確認できないのゴミすぎ。,チャンピオンズミーティングこれ一度その日の挑戦回数消費し切ると戦績とかその辺一切確認できないのよくないすぎ。
964,COOPこうべがGPSランナー「にしつー＠せんせー」と16店舗でゴミ拾いウォークイベントを同日開催。参加者を募集してる。 / https://t.co/S9j7XuG370#西宮市 #芦屋市 #阪神あんてな,COOPこうべがGPSランナー「にしつー＠せんせー」と16店舗でよくない拾いウォークイベントを同日開催。参加者を募集してる。 / https://t.co/S9j7XuG370#西宮市 #芦屋市 #阪神あんてな
965,燃えるゴミ用の箱のフタが秒で壊れたから又買わなきゃ…もう同じやつは買わん,燃えるよくない用の箱のフタが秒で壊れたから又買わなきゃ…もう同じやつは買わん
966,これまで出た大会ほとんど俺何もしてないのに3位3位1位だからな　ゴミかな,これまで出た大会ほとんど俺何もしてないのに3位3位1位だからな　よくないかな
967,@chamo62534078 さんご参加いただきありがとうございました。抽選の結果 #環境に優しいゴミ袋ノクー ご当選になります。おめでとうございます！詳細はDMをご確認ください！ゴミ袋、ポリ袋や食品保存袋の「サニパッ… https://t.co/UwkEXvO5C1,@chamo62534078 さんご参加いただきありがとうございました。抽選の結果 #環境に優しいよくない袋ノクー ご当選になります。おめでとうございます！詳細はDMをご確認ください！よくない袋、ポリ袋や食品保存袋の「サニパッ… https://t.co/UwkEXvO5C1
968,ゴミに乗られるスポーツカー可哀想,よくないに乗られるスポーツカー可哀想
969,RT @paramilipic: こういうゴミ動画消えてくんねぇかなぁ… https://t.co/LQyOFIOTzT,RT @paramilipic: こういうよくない動画消えてくんねぇかなぁ… https://t.co/LQyOFIOTzT
970,とちおとめシャインマスカットだけでなくてさつまいももそうだしなマグロの養殖も盗んでるし領土もそう盗人猛々しいどっちだよゴミども,とちおとめシャインマスカットだけでなくてさつまいももそうだしなマグロの養殖も盗んでるし領土もそう盗人猛々しいどっちだよよくないども
